league,type,dt,home,opp,win,start,cg,sho,sv,svo,ip,ip_f,hit,run,er,hr,hb,bb,ibb,so,np,np_s,era,whip
mlb,r,2013-9-29,true,LAA,0,true,false,false,false,false,5,2,4,2,2,1,0,2,0,8,84,52,2.83,1.07
mlb,r,2013-9-24,true,HOU,0,true,false,false,false,false,5,1,4,2,2,1,0,4,0,9,101,56,2.82,1.07
mlb,r,2013-9-19,false,TB,1,true,false,false,false,false,5,0,5,2,2,0,1,6,0,4,109,59,2.81,1.06
mlb,r,2013-9-14,true,OAK,-1,true,false,false,false,false,7,0,4,1,1,0,0,1,0,10,113,76,2.79,1.03
mlb,r,2013-9-9,true,PIT,-1,true,false,false,false,false,7,0,4,1,1,0,1,1,0,6,81,54,2.84,1.04
mlb,r,2013-9-4,false,OAK,-1,true,false,false,false,false,5,0,5,5,5,2,0,6,0,4,100,52,2.91,1.06
mlb,r,2013-8-30,true,MIN,-1,true,false,false,false,false,6,2,3,3,3,2,0,2,0,11,107,65,2.73,1.02
mlb,r,2013-8-24,false,CWS,0,true,false,false,false,false,7,0,6,2,2,1,0,3,0,11,113,70,2.68,1.04
mlb,r,2013-8-18,true,SEA,0,true,false,false,false,false,7,1,7,3,3,0,0,4,0,7,120,73,2.68,1.02
mlb,r,2013-8-12,false,HOU,1,true,false,false,false,false,8,0,1,1,1,1,0,1,0,15,115,74,2.64,1.00
mlb,r,2013-8-6,false,LAA,1,true,false,false,false,false,7,0,8,3,3,2,0,3,0,6,113,66,2.72,1.04
mlb,r,2013-8-1,true,ARI,1,true,false,false,false,false,7,0,5,0,0,0,0,0,0,14,111,78,2.66,1.02
mlb,r,2013-7-27,false,CLE,-1,true,false,false,false,false,6,0,3,1,1,1,0,4,0,11,123,76,2.80,1.03
mlb,r,2013-7-22,true,NYY,1,true,false,false,false,false,6,1,2,0,0,0,1,2,0,4,90,60,2.86,1.03
mlb,r,2013-7-6,true,HOU,-1,true,false,false,false,false,6,0,6,5,5,1,0,4,0,6,113,70,3.02,1.05
mlb,r,2013-6-30,true,CIN,1,true,false,false,false,false,6,2,4,0,0,0,0,4,0,8,117,77,2.78,1.01
mlb,r,2013-6-25,false,NYY,0,true,false,false,false,false,5,1,7,3,3,3,0,2,0,6,110,72,2.95,1.00
mlb,r,2013-6-19,true,OAK,-1,true,false,false,false,false,6,0,6,5,4,2,0,2,0,10,109,70,2.84,0.97
mlb,r,2013-6-13,true,TOR,0,true,false,false,false,false,7,0,3,1,1,0,0,2,0,9,110,59,2.64,0.94
mlb,r,2013-6-8,false,TOR,0,true,false,false,false,false,7,0,6,3,2,0,0,3,0,7,111,73,2.75,0.96
mlb,r,2013-6-2,true,KC,0,true,false,false,false,false,7,0,3,0,0,0,1,2,0,6,99,64,2.77,0.93
